,symbols,price,book_value,roic,NCAV_per_share,debt/equity,interest_coverage,free_cash_flow,price_per_earning,price_per_book,price_per_ncav,price_to_sales
419,BATA,930.0,343.59,17.14,121.4348408776969,11.54,20.55,+20.47 B,34.43,2.70671439797433,7.658428118966693,1.42
420,INTD,380.0,242.98,14.05,170.23048509928014,21.87,-5.12,+3.71 B,15.09,1.56391472549181,2.232267621033801,0.57
421,DPUM,900.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
422,BULL,65.0,569.9,-7.96,-344.02316084923257,102.95,0.52,-206.05 B,-1.24,0.11405509738550623,-0.18894076735864337,1.74
423,SMBR,297.0,291.38,12.67,219.03841472408217,n.a,1506.4,+240.65 B,7.92,1.0192875283135425,1.3559265408952321,3.09
424,META,77.0,122.51,3.57,-29.90018269455427,80.92,1.53,-57.90 B,10.41,0.6285201208064648,-2.5752351009555547,5.91
425,ARGO,850.0,-2626.06,-37.45,n.a,n.a,-2.18,-27.58 B,-0.83,-0.3236788192196675,n.a,0.31
426,TLKM,3210.0,721.06,18.43,-212.98531756330019,34.59,14.1,+11.13 T,21.65,4.4517793248828115,-15.07146143557982,3.12
427,WEHA,140.0,162.28,0.62,-172.33067938213568,167.83,0.56,+26.84 B,-7.35,0.8627064333251171,-0.8123916211666303,0.74
428,KINO,3800.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
429,INVS,109.0,n.a,12.57,n.a,17.92,9.18,-337.88 B,n.a,n.a,n.a,9.22
430,LMAS,50.0,111.04,-4.88,-43.10216252289605,470.04,1.45,-38.47 B,-30.07,0.4502881844380403,-1.160034603216017,0.19
431,KBRI,50.0,57.06,-1.8,-75.38413136883894,80.64,-1.11,-526.31 B,-2.43,0.8762705923589204,-0.6632695647225855,12.51
432,BNBA,182.0,272.99,8.89,n.a,0.18,n.a,+55.49 B,6.13,0.6666910875856258,n.a,0.66
433,KOBX,137.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
434,SCMA,3350.0,243.76,41.64,135.35562928067066,13.1,28.12,+1.03 T,32.14,13.743025927141451,24.74961712197066,12.62
435,APLI,57.0,165.46,4.35,13.605051515756326,1.69,42.38,+1.41 B,13.34,0.34449413755590474,4.189620299047525,0.39
436,ASDM,1000.0,1208.74,17.85,n.a,n.a,n.a,+54.88 B,4.86,0.8273077750384698,n.a,1.26
437,BUKK,695.0,441.49,8.52,123.08867758262916,31.33,3.24,-87.46 B,n.a,1.574214591496976,5.646335744678449,0.57
438,DEWA,50.0,150.02,0.14,10.524899654274618,12.18,0.48,+177.68 B,26.85,0.3332888948140248,4.750639116990805,0.39
